"filename", "language", "JSON", "TypeScript", "HTML", "SCSS", "Vue", "comment", "blank", "total"
"c:\Users\11691\Desktop\x\roll_ui\index.html", "HTML", 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\11691\Desktop\x\roll_ui\package.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\11691\Desktop\x\roll_ui\src\App.vue", "Vue", 0, 0, 0, 0, 22, 0, 2, 24
"c:\Users\11691\Desktop\x\roll_ui\src\components\ButtonDemo.vue", "Vue", 0, 0, 0, 0, 67, 0, 1, 68
"c:\Users\11691\Desktop\x\roll_ui\src\components\DIalogDemo.vue", "Vue", 0, 0, 0, 0, 53, 0, 1, 54
"c:\Users\11691\Desktop\x\roll_ui\src\components\DocDemo.vue", "Vue", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\11691\Desktop\x\roll_ui\src\components\SwitchDemo.vue", "Vue", 0, 0, 0, 0, 16, 0, 0, 16
"c:\Users\11691\Desktop\x\roll_ui\src\components\TabsDemo.vue", "Vue", 0, 0, 0, 0, 25, 0, 1, 26
"c:\Users\11691\Desktop\x\roll_ui\src\components\Topnav.vue", "Vue", 0, 0, 0, 0, 69, 0, 0, 69
"c:\Users\11691\Desktop\x\roll_ui\src\index.scss", "SCSS", 0, 0, 0, 29, 0, 2, 4, 35
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Button.vue", "Vue", 0, 0, 0, 0, 193, 1, 1, 195
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Dialog.vue", "Vue", 0, 0, 0, 0, 132, 0, 4, 136
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Switch.vue", "Vue", 0, 0, 0, 0, 64, 0, 0, 64
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Tab.vue", "Vue", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Tabs.vue", "Vue", 0, 0, 0, 0, 113, 0, 7, 120
"c:\Users\11691\Desktop\x\roll_ui\src\libs\openDialog.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 25
"c:\Users\11691\Desktop\x\roll_ui\src\libs\roll.scss", "SCSS", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\11691\Desktop\x\roll_ui\src\main.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\11691\Desktop\x\roll_ui\src\router.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 3, 30
"c:\Users\11691\Desktop\x\roll_ui\src\shims-vue.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\11691\Desktop\x\roll_ui\src\views\Doc.vue", "Vue", 0, 0, 0, 0, 88, 0, 1, 89
"c:\Users\11691\Desktop\x\roll_ui\src\views\Home.vue", "Vue", 0, 0, 0, 0, 42, 0, 0, 42
"Total", "-", 17, 65, 13, 37, 895, 3, 31, 1061
