"filename", "language", "JSON", "HTML", "TypeScript", "Vue", "SCSS", "comment", "blank", "total"
"c:\Users\11691\Desktop\x\roll_ui\index.html", "HTML", 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\11691\Desktop\x\roll_ui\package.json", "JSON", 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\11691\Desktop\x\roll_ui\src\App.vue", "Vue", 0, 0, 0, 22, 0, 0, 2, 24
"c:\Users\11691\Desktop\x\roll_ui\src\components\ButtonDemo.vue", "Vue", 0, 0, 0, 67, 0, 0, 1, 68
"c:\Users\11691\Desktop\x\roll_ui\src\components\DIalogDemo.vue", "Vue", 0, 0, 0, 53, 0, 0, 1, 54
"c:\Users\11691\Desktop\x\roll_ui\src\components\DocDemo.vue", "Vue", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\11691\Desktop\x\roll_ui\src\components\SwitchDemo.vue", "Vue", 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\11691\Desktop\x\roll_ui\src\components\TabsDemo.vue", "Vue", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\11691\Desktop\x\roll_ui\src\components\Topnav.vue", "Vue", 0, 0, 0, 83, 0, 0, 0, 83
"c:\Users\11691\Desktop\x\roll_ui\src\index.scss", "SCSS", 0, 0, 0, 0, 38, 2, 5, 45
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Button.vue", "Vue", 0, 0, 0, 193, 0, 1, 1, 195
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Dialog.vue", "Vue", 0, 0, 0, 132, 0, 0, 4, 136
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Switch.vue", "Vue", 0, 0, 0, 64, 0, 0, 0, 64
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Tab.vue", "Vue", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Tabs.vue", "Vue", 0, 0, 0, 113, 0, 0, 7, 120
"c:\Users\11691\Desktop\x\roll_ui\src\libs\openDialog.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 25
"c:\Users\11691\Desktop\x\roll_ui\src\libs\roll.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\11691\Desktop\x\roll_ui\src\main.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\11691\Desktop\x\roll_ui\src\router.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 3, 36
"c:\Users\11691\Desktop\x\roll_ui\src\shims-vue.d.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\11691\Desktop\x\roll_ui\src\views\Doc.vue", "Vue", 0, 0, 0, 104, 0, 0, 5, 109
"c:\Users\11691\Desktop\x\roll_ui\src\views\Home.vue", "Vue", 0, 0, 0, 110, 0, 0, 2, 112
"c:\Users\11691\Desktop\x\roll_ui\src\views\Install.vue", "Vue", 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\11691\Desktop\x\roll_ui\src\views\Intro.vue", "Vue", 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\11691\Desktop\x\roll_ui\src\views\getStart.vue", "Vue", 0, 0, 0, 21, 0, 0, 2, 23
"Total", "-", 18, 14, 72, 1040, 46, 3, 41, 1234
