"filename", "language", "TypeScript", "JSON", "Markdown", "Vue", "comment", "blank", "total"
"c:\Users\11691\Desktop\x\roll_ui\package.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"c:\Users\11691\Desktop\x\roll_ui\plugins\md.ts", "TypeScript", 28, 0, 0, 0, 1, 4, 33
"c:\Users\11691\Desktop\x\roll_ui\src\components\DIalogDemo.vue", "Vue", 0, 0, 0, -53, 0, -1, -54
"c:\Users\11691\Desktop\x\roll_ui\src\components\DialogDemo.vue", "Vue", 0, 0, 0, 53, 0, 1, 54
"c:\Users\11691\Desktop\x\roll_ui\src\components\Markdown.vue", "Vue", 0, 0, 0, 21, 0, 1, 22
"c:\Users\11691\Desktop\x\roll_ui\src\main.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 2
"c:\Users\11691\Desktop\x\roll_ui\src\markdown\get-start.md", "Markdown", 0, 0, 22, 0, 0, 6, 28
"c:\Users\11691\Desktop\x\roll_ui\src\markdown\install.md", "Markdown", 0, 0, 10, 0, 0, 5, 15
"c:\Users\11691\Desktop\x\roll_ui\src\markdown\intro.md", "Markdown", 0, 0, 5, 0, 0, 0, 5
"c:\Users\11691\Desktop\x\roll_ui\src\router.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"c:\Users\11691\Desktop\x\roll_ui\src\views\Install.vue", "Vue", 0, 0, 0, -10, 0, -1, -11
"c:\Users\11691\Desktop\x\roll_ui\src\views\Intro.vue", "Vue", 0, 0, 0, -16, 0, 0, -16
"c:\Users\11691\Desktop\x\roll_ui\src\views\getStart.vue", "Vue", 0, 0, 0, -21, 0, -2, -23
"c:\Users\11691\Desktop\x\roll_ui\vite.config.ts", "TypeScript", 4, 0, 0, 0, 1, 2, 7
"Total", "-", 37, 1, 37, -26, 2, 15, 66
