"filename", "language", "JSON", "Vue", "comment", "blank", "total"
"c:\Users\11691\Desktop\x\roll_ui\package.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\11691\Desktop\x\roll_ui\src\components\Button1.demo.vue", "Vue", 0, 14, 0, 0, 14
"c:\Users\11691\Desktop\x\roll_ui\src\components\Button2.demo.vue", "Vue", 0, 28, 0, 0, 28
"c:\Users\11691\Desktop\x\roll_ui\src\components\Button3.demo.vue", "Vue", 0, 30, 0, 1, 31
"c:\Users\11691\Desktop\x\roll_ui\src\components\Button4.demo.vue", "Vue", 0, 16, 0, 1, 17
"c:\Users\11691\Desktop\x\roll_ui\src\components\Button5.demo.vue", "Vue", 0, 17, 0, 1, 18
"c:\Users\11691\Desktop\x\roll_ui\src\components\ButtonDemo.vue", "Vue", 0, -43, 0, 1, -42
"c:\Users\11691\Desktop\x\roll_ui\src\components\Demo.vue", "Vue", 0, 66, 0, 6, 72
"c:\Users\11691\Desktop\x\roll_ui\src\components\Switch2.demo.vue", "Vue", 0, 3, 0, 0, 3
"c:\Users\11691\Desktop\x\roll_ui\src\components\SwitchDemo.vue", "Vue", 0, -25, 0, 2, -23
"Total", "-", 1, 106, 0, 12, 119
