"filename", "language", "TypeScript", "SCSS", "Vue", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\11691\Desktop\x\roll_ui\index.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\11691\Desktop\x\roll_ui\package.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\11691\Desktop\x\roll_ui\plugins\md.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 1, 4, 33
"c:\Users\11691\Desktop\x\roll_ui\src\App.vue", "Vue", 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\11691\Desktop\x\roll_ui\src\components\Button1.demo.vue", "Vue", 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\11691\Desktop\x\roll_ui\src\components\Button2.demo.vue", "Vue", 0, 0, 28, 0, 0, 0, 0, 0, 28
"c:\Users\11691\Desktop\x\roll_ui\src\components\Button3.demo.vue", "Vue", 0, 0, 30, 0, 0, 0, 0, 1, 31
"c:\Users\11691\Desktop\x\roll_ui\src\components\Button4.demo.vue", "Vue", 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\11691\Desktop\x\roll_ui\src\components\Button5.demo.vue", "Vue", 0, 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\11691\Desktop\x\roll_ui\src\components\ButtonDemo.vue", "Vue", 0, 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\11691\Desktop\x\roll_ui\src\components\Demo.vue", "Vue", 0, 0, 66, 0, 0, 0, 0, 6, 72
"c:\Users\11691\Desktop\x\roll_ui\src\components\DialogDemo.vue", "Vue", 0, 0, 53, 0, 0, 0, 0, 1, 54
"c:\Users\11691\Desktop\x\roll_ui\src\components\DocDemo.vue", "Vue", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\11691\Desktop\x\roll_ui\src\components\Markdown.vue", "Vue", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\11691\Desktop\x\roll_ui\src\components\Switch1.demo.vue", "Vue", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\11691\Desktop\x\roll_ui\src\components\Switch2.demo.vue", "Vue", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\11691\Desktop\x\roll_ui\src\components\SwitchDemo.vue", "Vue", 0, 0, 46, 0, 0, 0, 0, 7, 53
"c:\Users\11691\Desktop\x\roll_ui\src\components\TabsDemo.vue", "Vue", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\11691\Desktop\x\roll_ui\src\components\Topnav.vue", "Vue", 0, 0, 83, 0, 0, 0, 0, 0, 83
"c:\Users\11691\Desktop\x\roll_ui\src\index.scss", "SCSS", 0, 38, 0, 0, 0, 0, 2, 5, 45
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Button.vue", "Vue", 0, 0, 193, 0, 0, 0, 1, 1, 195
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Dialog.vue", "Vue", 0, 0, 132, 0, 0, 0, 0, 4, 136
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Switch.vue", "Vue", 0, 0, 64, 0, 0, 0, 0, 0, 64
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Tab.vue", "Vue", 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\11691\Desktop\x\roll_ui\src\libs\Tabs.vue", "Vue", 0, 0, 113, 0, 0, 0, 0, 7, 120
"c:\Users\11691\Desktop\x\roll_ui\src\libs\openDialog.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\11691\Desktop\x\roll_ui\src\libs\roll.scss", "SCSS", 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\11691\Desktop\x\roll_ui\src\main.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\11691\Desktop\x\roll_ui\src\markdown\get-start.md", "Markdown", 0, 0, 0, 0, 0, 22, 0, 6, 28
"c:\Users\11691\Desktop\x\roll_ui\src\markdown\install.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 5, 15
"c:\Users\11691\Desktop\x\roll_ui\src\markdown\intro.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\11691\Desktop\x\roll_ui\src\router.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\11691\Desktop\x\roll_ui\src\shims-vue.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\11691\Desktop\x\roll_ui\src\views\Doc.vue", "Vue", 0, 0, 104, 0, 0, 0, 0, 5, 109
"c:\Users\11691\Desktop\x\roll_ui\src\views\Home.vue", "Vue", 0, 0, 110, 0, 0, 0, 0, 2, 112
"c:\Users\11691\Desktop\x\roll_ui\vite.config.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 1, 2, 24
"Total", "-", 123, 46, 1214, 20, 14, 37, 5, 76, 1535
